ime;pivovarna;vrsta;velikost;stopnja_alkohola;drzava;cena;opis
Port Brewing Summer Pale Ale;Port Brewing Company;APA (American Pale Ale) Beer;0.65;6.0;United States;;A seasonal West Coast-style pale ale made with Chinook, Cascade, Amarillo, and Simcoe hops.
Prancing Pony Sunshine Ale;Prancing Pony;Blonde Beer;0.33;4.8;Australia;;An Australian blonde ale from Prancing Pony brewery in Totness, near Littlehapton, not far from Adelaide. It's made with 100% Pilsener malt, which is hopped six times with Citra.
Prancing Pony India Red Ale;Prancing Pony;IPA (India Pale Ale) Beer;0.33;7.9;Australia;;A brewery in Australia? We thought the Prancing Pony was an inn in New Zealand!
Prancing Pony Black Ale;Prancing Pony;Dark Ale Beer;0.5;6.0;Australia;;Blurring the lines between American Black Ale and American Stout this dark horse is black as the night, fire brewed and three times hopped.
Pressure Drop Street Porter;Pressure Drop Brewing;Porter Beer;0.33;6.5;England;3.4;A fantastic porter made with traditional malts and Kentish hops that celebrates the hard-working Londoners who've enjoyed this style of beer for centuries.
Samuel Adams Tetravis (Barrel Room Collection);Samuel Adams;Quadrupel Beer;0.75;10.2;United States;12.2;A quad from Samuel Adams' excellent Barrel Room Collection made with Belgian yeast, Hallertauer Mittelfrüh hops and brewing sugar and bottle-conditioned with Champagne yeast.
Samuel Adams American Kriek (Barrel Room Collection);Samuel Adams;Fruit Beer;0.75;7.0;United States;;A Samuel Adams take on a Belgian Kriek aged on Balaton cherries! It's made with Hallertau Mittelfrüh hops and the malts used are Samuel Adams' two-row pale blend, Caramel 60, Munich 10 and Special B.
Samuel Adams New World Tripel (Barrel Room Collection);Samuel Adams;Tripel Beer;0.75;10.0;United States;;An oak aged Golden Tripel from Samuel Adams, made with Tettnang Tettnanger and Saaz hops as well as their their two-row pale malt blend and malted wheat.
Samuel Adams Stony Brook Red (Barrel Room Collection);Samuel Adams;Sour / Lambic Beer;0.75;9.0;United States;12.2;An oak aged ale from the Boston Beer Company's popular Samuel Adams range!
Samuel Adams Thirteenth Hour Stout (Barrel Room Collection);Samuel Adams;Stout Beer;0.75;9.0;United States;12.2;This oak aged, spicy dark Belgian-style stout was called forth with thirteen ingredients  and named after the witching hour!
Ska Modus Hoperandi;Ska Brewing;IPA (India Pale Ale) Beer;0.36;6.8;United States;;A well-hopped USA-style IPA from Ska Brewing out in Durango, Colorado.
St-Feuillien Saison;Brasserie St-Feuillien;Saison Beer;0.33;6.5;Belgium;2.56;A traditional farmhouse ale from southern Belgium, first launched in 2009 for the American market. Hoppy and Belgian with a secondary fermentation in the bottle, what's not to like?
St-Feuillien Grand Cru;Brasserie St-Feuillien;Blonde Beer;0.33;9.5;Belgium;3.9;A special edition extra-blond beer from top Belgian brewers St-Feuillien that undergoes re-fermentation in the bottle.
St-Feuillien Cuvée De Noël 75cl;Brasserie St-Feuillien;Winter / Christmas Ale Beer;0.75;9.0;Belgium;;St-Feuillien, reassuringly known as 'Old Faithful', is a top-fermenting Belgian beer.
Stone & Wood Pacific Ale;Stone & Wood Brewing Company;Blonde Beer;0.33;4.4;Australia;;An unfiltered Australian beer from Stone & Wood of Byron Bay made with Australian barley, wheat and Galaxy hops.
Vale Ale;Vale Brewing;Pale Ale Beer;0.33;4.5;Australia;;Vale Ale is a Pale Ale. Vale Pale Ale. It's made by Vale Brewing in Australia (not to be confused with Vale Brewery in Aylesbury) with Amarillo and Cascade hops as well as crystal malt.
Vale IPA;Vale Brewing;IPA (India Pale Ale) Beer;0.33;5.5;Australia;;Said to be an Australian version of an American IPA, this beer from Vale Brewing is made with Galaxy (Australia), Nelson Sauvin (New Zealand) and Citra (USA) hops and pale, wheat and crystal malt.
Westerham Bohemian Rhapsody;Westerham Brewery;Lager / Pilsner Beer;0.33;5.0;England;;A Czech-style Pilsner from Westerham Brewery in Kent made with Czech-grown Saaz hops and English lager malt. Fermented with a lager yeast and cold conditioned for 4 weeks.
Beavertown Smog Rocket Smoked Porter;Beavertown;Smoked Beer;0.33;5.4;England;2.4;A porter inspired by the industrial revolution, when smog filled the air and porter was still the drink of choice.
Black Isle Barrel Aged Scotch Ale - Islay Edition;Black Isle Brewery;Cask-Aged Beer;0.33;6.5;Scotland;;Black Isle Brewing took their Scotch Ale, which they described as liquid fruitcake (and suggested pairing with Glenmorangie Lasanta) and aged it in a cask that previously held single malt whisky
Buxton Brewery Deep Rainbow Valley;Buxton Brewery;Saison Beer;0.75;8.5;England;18.95;A saison from Buxton Brewery made with soured orange juice and aged on gorse flowers.
Buxton Brewery Jacob's Ladder;Buxton Brewery;Pale Ale Beer;0.33;2.7;England;;A hoppy session beer brewed to support the Buxton Mountain Rescue Team (geddit? Mountains, climbing, ladders…), with a small amount donated for each and every sale.
Buxton Brewery SPA;Buxton Brewery;Pale Ale Beer;0.33;4.1;England;;A hoppy pale ale from Buxton Brewery, who certainly know a thing or two about this style historically. SPA is made with Citra hops from North America.
Buxton Brewery Wild Boar IPA;Buxton Brewery;IPA (India Pale Ale) Beer;0.33;5.7;England;;A bottle conditioned India Pale Ale from Buxton. Nice it is too.
The Kernel Table Beer;The Kernel;Pale Ale Beer;0.33;2.9;England;2.8;A tasty Table Beer from the folks at Kernel Brewery in Bermondsey, made with a differing selection of hop varieties for each batch. Good for pairing with food or enjoying on a summer afternoon.
The Kernel Pale Ale Chinook Zeus Citra;The Kernel;APA (American Pale Ale) Beer;0.5;5.3;England;;The Kernel make beer with upfront hops, lingering bitternesses, warming alcohols, (and) bodies of malt. What's not to like? This pale ale is made with Citra, Zeus and Chinook hops, obviously.
The Kernel Export India Porter (50cl);The Kernel;Porter Beer;0.5;6.2;England;;A larger 50cl bottle of The Kernel's hoppy and rich India Porter!
The Kernel Export India Porter (33cl);The Kernel;Porter Beer;0.33;6.4;England;3.4;An excellent bottle conditioned hoppy porter from The Kernel craft brewery in London.
The Kernel Export Stout London 1890;The Kernel;Stout Beer;0.33;6.8;England;3.38;The Kernel Brewery in Bermondsey based the recipe for their Export Stout on that of a brew from 1890!
Moor Beer Company Confidence Can;Moor Beer Company;Red Ale Beer;0.33;4.6;England;;A tasty canned red ale from the Moor Beer Co. in Somerset - the label says it is honouring those who inspire others\
Moor Beer Company Dark Alliance;Moor Beer Company;Stout Beer;0.33;4.5;England;2.76;An ace coffee stout here from the Moor Beer Co. in Somerset, originally created as a collaboration between Moor, Clifton Coffee Company and Arbor Ales.
Tempest Harvest IPA;Tempest Brewing Company;IPA (India Pale Ale) Beer;0.33;6.7;Scotland;;From Tempest Brewing Co. in Tweedbank in the Scottish Borders comes the Tempest IPA, made using Mosaic hops along with a Belgian strain of yeast.
Wiper and True Milk Shake Milk Stout;Wiper and True;Stout Beer;0.5;4.0;England;;A bottle conditioned milk stout brewed with Maris Otter Pale Ale malt plus some Chocolate malt, Crystal and Roasted Barley as well as vanilla and British hops at Ashley Down Brewery.
Wiper and True Whitefriars;Wiper and True;Winter / Christmas Ale Beer;0.33;6.4;England;;A Belgian-style Winter Ale from Bristol's excellent Wiper and True.
Anchorage Whiteout;Anchorage Brewing;Wheat / Wit / White Beer;0.75;6.5;United States;;A Belgian-style witbier brewed with lemon peel, black peppercorns and coriander and then aged in ex-Chardonnay wine casks!
Mikkeller American Dream;Mikkeller;Lager / Pilsner Beer;0.5;4.6;Denmark;4.8;A lager from Mikkeler, made using American hops. This one's intended to be drunk from the can after grabbing it from the fridge on a warm day.
Mikkeller Black Hole;Mikkeller;Stout Beer;0.38;13.1;Denmark;;An intense imperial stout, Black Hole is said to be what Mikkeller is all about\
Mikkeller Hop On Drink'in Berliner;Mikkeller;Wheat Beer;0.33;2.8;Denmark;3.16;A punchier, dry hopped version of Mikkeler's Drink'in Berliner, a Berliner Weisse.
Mikkeller Say Sun;Mikkeller;Saison Beer;0.33;6.0;Denmark;;A Belgian Saison Ale from Mikkeller, brewed at D'Proef.
Mikkeller Belgian Tripel;Mikkeller;Tripel Beer;0.33;9.0;Denmark;;A Tripel style Belgian ale from the wonderful Mikkeller! A tasty treat which has been brewed with coriander and sweet orange zests, resulting in oodles of mouth-filling flavour. Love the label, too!
Mikkeller USAlive!;Mikkeller;Blonde Beer;0.33;8.0;Denmark;4.0;A strong Belgian-style beer from Mikkeller, made using wild yeasts which brings out a refreshing, juicy sourness to the brew.
Mikkeller Wheat Is The New Hops Can;Mikkeller;IPA (India Pale Ale) Beer;0.5;6.0;Denmark;;A can of Mikkeler's wheat IPA fermented with brettanomyces at D’Proef in Belgium.
To Øl Gose To Hollywood;To øl;Gose Beer;0.5;3.8;Denmark;;A gose made with Californian oranges! Pilsner, Biscuit, Cara Pils malts are used as well as malted and unmalted wheat. Refreshing on a summer's day.
To Øl Jule Mælk;To øl;Stout Beer;0.38;15.0;Denmark;;Jule Mælk is To Øl's Imperial Milk Stout, sitting at a rather imposing 15% ABV. Somewhat Christmas-y, too...
To Øl Releaf Me;To øl;Blonde Beer;0.33;5.8;Denmark;;A wonderfully well-named Belgian Blonde Ale here from To Øl - Releaf Me is brewed with Thai lime leaves and well as Nelson Sauvin and Citra hops. Ought to pair well with spicy foods...
To Øl Reparationsbajer;To øl;APA (American Pale Ale) Beer;0.33;5.8;Denmark;3.72;A gluten free (and rather refreshing) pale ale from To Øl, made with generous helpings of American and New Zealand hops.
To Øl Shameless Santa;To øl;Red Ale Beer;0.75;10.0;Denmark;;A big-bodied Belgian red ale from To Øl called Shameless Santa - great for enjoying during Christmas...
To Øl Sofa King Pale;To øl;APA (American Pale Ale) Beer;0.33;4.7;Denmark;;A wonderfully well balanced session Pale Ale here from To Øl, made with a combination of Citra, Amarillo and Tettnanger hops.
AleSmith Old Numbskull;AleSmith;Barley Wine Beer;0.75;11.0;United States;17.0;An American barley wine-style brew here from the AleSmith folks in San Diego!
Almanac Farm to Barrel Dogpatch Sour;Almanac Beer Company;Cask-Aged Beer;0.38;7.5;United States;;Almanac are a team of brewers who enjoy combining classic beer styles with their own terroir of Northern California.
Almanac Emperor Norton;Almanac Beer Company;Fruit Beer;0.65;9.0;United States;13.0;A Belgian Tripel style from Californian brewers, Almanac.
Almanac Golden Gate Gose;Almanac Beer Company;Gose Beer;0.65;5.0;United States;10.0;Almanac's Golden Gate Gose indeed captures all the intriguing flavour elements of the traditional German style of beer.
Almanac Saison Dolores;Almanac Beer Company;Saison Beer;0.65;6.8;United States;12.25;A San Francisco-inspired Saison here from Almanac Beer Co., made with barley, rye and wheat grown in Mendocino County.
Against The Grain Little Did We Know;Against The Grain Brewery;Smoked Beer;0.75;6.8;United States;16.44;A collaborative brew between Against the Grain Brewery in Kentucky and Baltimore's Stillwater, Little Did We Know is a surprising smoky saison featuring pecan and sage smoked malts and finished with
Against The Grain Tall Tale;Against The Grain Brewery;Sour / Lambic Beer;0.75;8.5;United States;17.81;An Against The Grain Brewery remix of a Stillwater Artisanal brew here!
Black Market Sour Ale with Blackberries;Black Market Brewing Company;Fruit Beer;0.36;3.8;United States;;From the Black Market Brewing Co. in beautiful California, USA, comes their Blackberry Sour ale in an American 355ml can! Juicy and satisfyingly sour, with a fairly approachable ABV.
Black Market Sour Ale with Cherries;Black Market Brewing Company;Fruit Beer;0.36;3.8;United States;;A cherry sour ale from Californian brewers, Black Market (in an American 355ml can).
Black Market Deception;Black Market Brewing Company;Blonde Beer;0.36;4.5;United States;;A Californian Blonde-style beer from Black Market Brewing co., made with Saaz hops as well as coconut and lime.
Crooked Stave St. Bretta Gold Nugget Mandarin;Crooked Stave;Wheat / Wit / White Beer;0.38;5.5;United States;;From Brett beer specialists Crooked Stave in Colorado comes another edition of their St. Bretta wheat beer, this time brewed with gold nugget mandarin. This is a 375ml bottle.
Crooked Stave Vieille;Crooked Stave;Cask-Aged Beer;0.38;4.2;United States;;An oak aged Saison from Colorado based brewers Crooked Stave, presented in a 375ml bottled.
Jester King Commercial Suicide;Jester King;Mild Beer;0.75;2.9;United States;11.4;Texas brewer Jester King's Commercial Suicide is a rather interesting venture, drawn inspiration from both farmhouse ales and British milds!
Jolly Pumpkin Bam Noire;Jolly Pumpkin;Dark Ale Beer;0.38;4.5;United States;11.15;From Jolly Pumpkin's selection of artisan ales comes the Bam Noire, a dark sour ale which has been brewed with plenty of dark malts, wild yeasts and bottle conditioned.
Jolly Pumpkin Luciérnaga;Jolly Pumpkin;Cask-Aged Beer;0.75;6.5;United States;;Jolly Pumpkin's Luciernaga (which means Firefly) is a bit like a mix between Pale Ale and Saison, with plenty of Belgian inspiration being showed off.
Jolly Pumpkin Oro de Calabaza;Jolly Pumpkin;Cask-Aged Beer;0.75;8.0;United States;17.84;A Belgian-inspired golden ale from Jolly Pumpkin Artisan Ales in Michigan, made with wild yeasts, giving it that oh-so-intriguing personality.
Lost Abbey Santo Ron Diego;The Lost Abbey;Cask-Aged Beer;0.38;12.5;United States;20.18;From the Lost Abbey range, produced in California, comes the Santo Ron Diego!
Moylan's Danny's Irish Style Red Ale;Moylan's;Red Ale Beer;0.65;6.5;United States;5.56;Danny's Irish Red Ale comes to us via Moylan's Brewery in California. An enjoyably rich, malty, caramel-y brew which ought to compliment hearty meals handsomely.
Moylan's Dragoons Dry Irish-Style Stout;Moylan's;Stout Beer;0.65;5.0;United States;;A Dry Irish Stout from Californian brewers, Moylan's. Using Willamette hops and a delicious selection of malts, this Stout is just the thing to enjoy on a long afternoon in the autumn.
Moylan's Ryan Sullivan's Imperial Stout;Moylan's;Stout Beer;0.65;10.0;United States;;A big-bodied, marvellously malty Imperial Stout from Moylan's Brewery in beautiful Novato California. Huge notes of chocolate and coffee here. Rather awesomely, it was named for Moylans' St.
Moylan's Tipperary Pale Ale;Moylan's;Pale Ale Beer;0.65;5.0;United States;6.0;From Moylan's Brewery in California comes their Tipperary Pale Ale, name after County Tipperary in Ireland.
Oceanside Daliesque 2012;Oceanside Ale Works;Cask-Aged Beer;0.75;6.2;United States;;An interesting American Barrel-aged Lambic style Belgian blonde here from California brewery, Oceanside Ale Works.
Port Brewing Anniversary Ale;Port Brewing Company;IPA (India Pale Ale) Beer;0.65;11.0;United States;12.92;A well-hopped and rather strong IPA from Port Brewing Company, made with a selection tasty hops along with a generous dry-hopping too.
