drzava;opis;regija;barva;cena;stopnja_alkohola;ime;vrsta;slika;vonj;velikost;okus
France;"Pure chenin blanc from some of the highest vines in the appellation. Hand harvested and natural yeast fermentation in tank. Of the four wines that Damien produces, the largest are Les Genets and Bel Ouvrage which correspond to the two main soils types he farms in Savennieres: sandy, decomposed schist and a heavier more clay-like soils with volcanic inclusions. The Genet comes from the lighter sandier soils and is a brighter, more open-knit expression of Chenin that is aged in a combination of vat and cask (90%/10%) for 18 months before release."" - Importer";Loire;White;37.98;14.0;2014 Laureau Savennieres Les Genets;Chenin Blanc;https://dsi2vjvztwiuk.cloudfront.net/website/products/100491/bottle/749767/original.png;honeydew,   iodine,   grass,   citrus,   melon and   kiwi;0.75;honeysuckle,   quince,   melon and   cantaloupe
United States;"Oak Vineyards Red Blend is rich in color with aromas of dark fruit, coffee, and vanilla.  A sip gives you flavors of cherry, blueberry, and plum, along with smooth tannins on the finish."" -Winery";California;Red;7.99;12.5;2014 Oak Vineyards Red Blend;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/100498/bottle/749795/original.png;plum,   violet,   almond,   dark berry,   spice,   candy,   vanilla,   oak,   smoke,   tar,   musk and   mushroom;0.75;plum,   violet,   almond,   dark berry,   spice,   jam,   blueberry,   black pepper,   cherry,   boysenberry,   cranberry and   licorice
United States;Insignia is one of the most anticipated releases in all of California each year.  The 2014 vintage was a great one in Napa and it shows in this incredible offering from Joseph Phelps.  Collectors get ready.  This is a vintage you will not want to miss!;California;Red;199.99;14.5;2014 Joseph Phelps Insignia;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/100514/bottle/749741/original.png;currant,   blackberry,   cherry,   cedar,   cigar box,   mocha,   leather,   vanilla,   tobacco,   broccoli,   berry,   flower,   violet,   rose,   truffle,   earth and   coffee;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak,   vanilla,   lead,   cedar,   molasses,   dark fruit,   tobacco,   raspberry,   cassis,   violet,   pepper,   green bean,   black cherry,   plum,   smoke,   toast and   tar
United States;<b>ABOUT THE PRODUCER</b>;Willamette Valley Oregon;Red;18.99;13.8;2015 Brooks Pinot Noir Willamette Valley;Pinot Noir;https://dsi2vjvztwiuk.cloudfront.net/website/products/100517/bottle/749874/original.png;barnyard,   cherry,   plum,   game and   tomato;0.75;ripe cherry,   plum,   strawberry,   raspberry and   mushroom
Italy;<b>About the producer</b>;Sardinia;Red;18.93;14.0;2013 Contini Cannonau Inu;Grenache / Garnacha;https://dsi2vjvztwiuk.cloudfront.net/website/products/100521/bottle/749790/original.png;vanilla,   toast,   smoke,   tobacco,   dark fruit and   red fruit;0.75;black currant,   blackberry,   dust and   leather
United States;"Produced from vines with an average age of 85 years, this delicious wine exhibits a bright bouquet of wild strawberry and Satsuma plum, intermingled with cedar shavings. Filling the palate with flavors of black cherry and vanilla, supple tannins support good structure."" - Winery";California;Red;13.78;15.4;2014 Klinker Brick Lodi Old Vine Zinfandel;Zinfandel;https://dsi2vjvztwiuk.cloudfront.net/website/products/100523/bottle/749775/original.png;candy,   vanilla,   oak,   smoke,   tar,   musk and   mushroom;0.75;jam,   blueberry,   black pepper,   cherry,   plum,   boysenberry,   cranberry and   licorice
France;"A Nicely balanced, easy drinking wine full of fruit and freshness. Coming from vines with an average age of 30 years, this is a blend of 80% Lladoner Pelut (ancient Grenache relative), 10% Grenache, 5% Syrah and 5% Carignan."" - Importer";Roussillon;Red;14.98;14.0;2015 Domaine Des Enfants Rouge Les Jouets;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/100525/bottle/749784/original.png;vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   spice box,   cedar,   violet,   rose petal,   oak and   mushroom;0.75;black currant,   blackberry,   dust,   leather,   currant,   blueberry,   strawberry,   cherry,   raspberry,   licorice and   anise
United States;Enfield Wine Co. was founded in 2010 by John Lockwood. Over the past 10 years, John cut his teeth in the winemaking world with some of the most esteemed vineyard sites and producers in California. John has worked under winemakers such as David Mahaffey, Ted Lemon, and Ehren Jordan, where most recently he was responsible for farming the Failla Sonoma Coast and Russian River properties for the past 5 years.;California;Red;67.99;13.9;2014 Enfield Wine Co Fort Ross Seaview Cabernet Sauvignon;Cabernet Sauvignon;https://dsi2vjvztwiuk.cloudfront.net/website/products/100533/bottle/749811/original.png;currant,   blackberry,   cherry,   cedar and   cigar box;0.75;currant,   blackberry,   cherry,   bell pepper,   olive,   asparagus,   spice,   ginger,   oak and   vanilla
United States;"Our 2015 Dutton Ranch Chardonnay shows this liveliness right away in the nose, leadingwith zesty lime, Meyer lemon and tangerine, backed by more sultry notes of lemon oil androasted nuts. The mouth is fresh with citrus, yet has a luscious creaminess at the same time.The initial lemon/lime hit is followed by rounder flavors of pear and green apple, along witha touch of apricot. The finish is brisk and refreshing, with a dash of toasty chestnut. Thedelicious chardonnay’s bright/rich combination make it the perfect match or counterpoint toa wide range of foods, with shellfish in a cream sauce the ultimate echo of the wine’s qualities."" - Winery";California;White;29.98;13.8;2015 Dutton Goldfield Chardonnay Dutton Ranch Russian River Valley;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/100540/bottle/749812/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;Tasting Notes: This medium-bodied blend is packed with flavor, offeringaromas of plums & cherries with smoky notes. The palateyields red and black fruits, spices, a hint of bacon, andsilky tannins.;Roussillon;Red;7.99;14.0;2015 Penya Cotes Catalanes Rouge;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/100543/bottle/749986/original.png;"vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   spice box,   cedar,   violet,   rose petal,   oak,   mushroom,   thyme
,   clove
,   cinnamon
,   black pepper
 and   mint";0.75;"black currant,   blackberry,   dust,   leather,   currant,   blueberry,   strawberry,   cherry,   raspberry,   licorice,   anise,   blackberry
,   violet
,   oak
,   smoke
,   toast
 and   vanilla"
Australia;"This wine displays outstanding aromatic lift and fruit intensity. The aromatic profile is dominated by traditional citrus influence of lemon and lime combined with green apple, jasmine, musk and a tropical lift of passionfruit and honeydew. The palate emulates the nose and shows even more citrus with grapefruit bursting from the mid-palate. The wine has a highly textured mouthfeel, fresh acidity and great length. Drink now as a young aromatic white or cellar for 10+ years."" - Winery";South Australia;White;19.98;14.0;2016 Hentley Farm Riesling;Riesling;https://dsi2vjvztwiuk.cloudfront.net/website/products/100545/bottle/750203/original.png;petrol,   flint,   rose petal,   violet,   orange peel,   apple,   pear and   peach;0.75;apple,   pear,   peach,   apricot and   honey
France;" The 23 year old vines are manually harvested. Both varieties ferment separately with indigenous yeasts, are aged in stainless steel tanks then blended before bottling. A fresh, aromatic white. The name Silex refers to flinty soils in the vineyard, reminiscent of Pouilly-Fumé further east along the Loire river."" - Winery";Loire;White;15.0;13.0;2015 Domaine De La Barbiniere ;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/100548/bottle/749899/original.png;honeydew,   iodine,   grass,   citrus,   melon,   kiwi,   apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   butter,   cream and   vanilla;0.75;honeysuckle,   quince,   melon,   cantaloupe,   apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
France;"Cold maceration for about two days in stainless steel tanks, before fermentation and aging. Dense purple color, with pure, dark fruit on the nose. Deep, spicy, beautiful texture and structure on the palate."" - Winery";Rhone;Red;19.99;15.0;2013 Domaine La Rocaliere Lirac Rouge;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/100550/bottle/749900/original.png;"vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   thyme
,   clove
,   cinnamon
,   black pepper
,   mint,   spice box and   cedar";0.75;"black currant,   blackberry,   dust,   leather,   blackberry
,   violet
,   oak
,   smoke
,   toast
,   vanilla,   currant,   blueberry and   strawberry"
Australia;"It's clean and fresh like the salty beaches of Margaret River. The Semillon component receives a few weeks aging in very old (neutral) oak for texture."" - Winery";Western Australia;White;14.16;;2015 Stella Bella Skuttlebutt Sauvignon Blanc/Semillion;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/100555/bottle/749989/original.png;apple,   pear,   kiwi,   citrus,   stone,   grapefruit,   melon,   apricot,   quince,   honey,   pineapple and   cream;0.75;grass,   gooseberry,   grapefruit,   lime,   melon,   citrus,   mineral,   flint,   fig,   lemon,   pear,   saffron and   bell pepper
United States;"Our Sonoma Coast Chardonnay sources from cool climate vineyards located near the influence of coastal breezes within the Sonoma wind gap. Notes of lush tropical fruit and vanilla lead to a palate of stone fruit and citrus, bolstered by lively acidity and underscored by toasty oak.""- Winery";California;White;25.99;13.5;2015 Walt Chardonnay Sonoma Coast;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/100574/bottle/749836/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
Spain;Alacios blends Les Terrasses from garnacha and cariñena grown in different areas of Priorat, presenting an overarching vision of the region’s wines. And that vision in 2015 is rich in herbal notes, tension and freshness, speaking clearly of the new style of Priorat reds. However, behind these bright, crystalline flavors, there are notes of spice and riper fruit flavors that give the wine a delicious depth.;Catalonia;Red;29.87;14.5;2015 Alvaro Palacios Les Terrasses Velles Vinyes Priorat;blend;https://dsi2vjvztwiuk.cloudfront.net/website/products/100602/bottle/757518/original.png;vanilla,   toast,   smoke,   tobacco,   dark fruit,   red fruit,   violet,   rose petal,   oak and   mushroom;0.75;black currant,   blackberry,   dust,   leather,   cherry,   strawberry,   raspberry,   licorice and   anise
France;Based in Blagny, up the hill along the southern border of Meursault, Laurent Martelet consistently grows some of the most classical and delicious white wines of Puligny. He farms 4.2 acres in Hameau de Blagny, adjacent to the village, where the vines were planted in 1950. This is more dynamic and sunnier than most of the 2013s we tasted, the flavors layered in richness, yielding scents of hazelnut, fresh-baked brioche, succulent lime and savory limestone earthiness. Ethereal and enveloping at once, this is a great take on the vintage. Drink it now and over the next decade.;Burgundy;White;86.99;13.0;2013 Cherisey Puligny Montrachet Hameau De Blagny 1er Cru;Chardonnay;https://dsi2vjvztwiuk.cloudfront.net/website/products/100604/bottle/750079/original.png;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla;0.75;apple,   pear,   peach,   apricot,   lemon,   lime,   orange,   pineapple,   kiwi,   butter,   cream and   vanilla
